0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:05:42 +0530] "GET /advance_java_mini_project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:05:44 +0530] "GET /advance_java_mini_project/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:19:48 +0530] "GET /advance_java_mini_project/ HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:19:54 +0530] "GET /advance_java_mini_project/register.jsp HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:40:12 +0530] "GET /advance_java_mini_project/ HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:40:12 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/css/style.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:40:23 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/books/ HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:40:28 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/loans/ HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:27 +0530] "GET /advance_java_mini_project/ HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:27 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/images/library1.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:27 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/css/style.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:27 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/images/library3.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:27 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/images/library2.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:45 +0530] "GET /advance_java_mini_project/ HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:45 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/css/style.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:45 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/images/library1.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:45 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/images/library2.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Apr/2025:22:42:45 +0530] "GET /advance_java_mini_project/$%7BpageContext.request.contextPath%7D/images/library3.jpg HTTP/1.1" 404 848
